dataset,dimension,rank,value,rows,population_rows,share,cap
development_metadata,molecule_id,1,MOL-000001646B63C20AC3214EBF,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,2,MOL-000002E77741E69D5E720652,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,3,MOL-00000BEAA89E31DCF77F59B1,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,4,MOL-00001336EC9466621DEA38F9,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,5,MOL-00001B1667B492252107E21C,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,6,MOL-000033A653E9833AD4B36C07,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,7,MOL-0000442CFA1BAEE4FE8AF8F7,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,8,MOL-0000629F2E1477EBA186466C,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,9,MOL-0000650B6F6F260C3A76DE45,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,10,MOL-0000660C930AD40D07807059,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,11,MOL-000082A93653EAFCF1B1A293,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,12,MOL-000083F2179926E2CC5EC4B9,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,13,MOL-000085EA31964B3C179379D2,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,14,MOL-0000A760F5D341CBAD784727,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,15,MOL-0000C545F3BFA8253919DB81,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,16,MOL-0000F4655069FD6AD120D070,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,17,MOL-0000FEF96F793203D79ACDE4,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,18,MOL-000111BC22E9737B274AD402,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,19,MOL-00012139D93AC91A17E1D87D,1,1304011,7.6686469669350946e-07,20
development_metadata,molecule_id,20,MOL-000129DE77D0F6FDF3DBC957,1,1304011,7.6686469669350946e-07,20
observations,assay_id,1,ASSAY-9CB241B0AD0B78D041BC3A1C,39956,3938372,0.010145308772254119,20
observations,assay_id,2,ASSAY-E92506D880CF17C055D59F09,39956,3938372,0.010145308772254119,20
observations,assay_id,3,ASSAY-5EC4F22D9F65A5A8F00F37A5,19978,3938372,0.0050726543861270594,20
observations,assay_id,4,ASSAY-EC25718DCE99614D25DA5F9E,19978,3938372,0.0050726543861270594,20
observations,assay_id,5,ASSAY-09CBB0BBE4726029ED05573C,11448,3938372,0.0029067848339364589,20
observations,assay_id,6,ASSAY-72CB77EA800740B65AC7B056,4707,3938372,0.001195163890054063,20
observations,assay_id,7,ASSAY-C0BED7F269EB3A5BF0540008,3226,3938372,0.00081912018468544869,20
observations,assay_id,8,ASSAY-6246906248BBBF385157B65C,3160,3938372,0.00080236199119839368,20
observations,assay_id,9,ASSAY-AF397702FEABDD6890E3E7DE,2993,3938372,0.0007599586834356937,20
observations,assay_id,10,ASSAY-2401BD24A85473109BCADEED,2509,3938372,0.00063706526453062334,20
observations,assay_id,11,ASSAY-D2EF25A55E096D66D9CFC9BA,2494,3938372,0.00063325658419265628,20
observations,assay_id,12,ASSAY-9B24A5421BD45C1DEDB32296,2368,3938372,0.00060126366935373292,20
observations,assay_id,13,ASSAY-FEEB93C7F49D7151219DE6C9,2264,3938372,0.00057485681901049473,20
observations,assay_id,14,ASSAY-968477BDF53826D23031122A,2242,3938372,0.00056927075451480966,20
observations,assay_id,15,ASSAY-176EA55AED595E4A76314E90,2123,3938372,0.0005390552238336043,20
observations,assay_id,16,ASSAY-44DDD2F73F1D7BB13BED73B2,2057,3938372,0.00052229703034654929,20
observations,assay_id,17,ASSAY-B4CFF72BD8CBF1C0FE4C6E0F,2034,3938372,0.00051645705382833318,20
observations,assay_id,18,ASSAY-5A55E7EBE6DB697BF9CFC212,1949,3938372,0.00049487453191318642,20
observations,assay_id,19,ASSAY-B21E450947232D29D4E404B9,1941,3938372,0.00049284323573293737,20
observations,assay_id,20,ASSAY-C55CECE54604D16B68BF1260,1941,3938372,0.00049284323573293737,20
observations,canonical_target_id,1,CHEMBL612558,259312,3938372,0.065842434386594262,20
observations,canonical_target_id,2,CHEMBL2362975,133441,3938372,0.033882274198577485,20
observations,canonical_target_id,3,CHEMBL376,74841,3938372,0.01900302967825284,20
observations,canonical_target_id,4,CHEMBL612545,74121,3938372,0.018820213022030421,20
observations,canonical_target_id,5,Q12809,41123,3938372,0.010441624102547956,20
observations,canonical_target_id,6,CHEMBL612653,40000,3938372,0.010156480901245489,20
observations,canonical_target_id,7,P00533,29368,3938372,0.0074568882776944378,20
observations,canonical_target_id,8,P07949,27064,3938372,0.0068718749777826977,20
observations,canonical_target_id,9,CHEMBL375,25124,3938372,0.0063792856540722922,20
observations,canonical_target_id,10,O60674,24742,3938372,0.0062822912614653977,20
observations,canonical_target_id,11,O60885,24574,3938372,0.0062396340416801662,20
observations,canonical_target_id,12,Q06187,23853,3938372,0.0060565634734352164,20
observations,canonical_target_id,13,P51449,21013,3938372,0.0053354533294467862,20
observations,canonical_target_id,14,CHEMBL4543887,19978,3938372,0.0050726543861270594,20
observations,canonical_target_id,15,P23458,19891,3938372,0.0050505640401668503,20
observations,canonical_target_id,16,P29597,18962,3938372,0.0048146797712354241,20
observations,canonical_target_id,17,P35968,18877,3938372,0.0047930972493202776,20
observations,canonical_target_id,18,P14416,17559,3938372,0.0044584412036242386,20
observations,canonical_target_id,19,CHEMBL613373,16955,3938372,0.004305078342015432,20
observations,canonical_target_id,20,P08684,16797,3938372,0.0042649602424555122,20
observations,molecule_id,1,MOL-DE1DD180A5C0E4C5250113F3,3781,3938372,0.00096004135719022989,20
observations,molecule_id,2,MOL-476FE2C7A41F216B657C6726,3305,3938372,0.00083917923446540858,20
observations,molecule_id,3,MOL-B110DABE945EADA5346CE350,2696,3938372,0.000684546812743946,20
observations,molecule_id,4,MOL-B14097017E535147AF319EA5,2648,3938372,0.00067235903566245138,20
observations,molecule_id,5,MOL-BA1EA9D3000C0199E7564DFC,2471,3938372,0.00062741660767444006,20
