structure_id,scaffold_group_id,outer_fold,observed_pic50,pred__honest_stack,absolute_error,pred__v8,absolute_error_v8,v9_improvement_vs_v8,molecular_weight,mol_logp,tpsa,rotatable_bonds,maximum_train_tanimoto,interval90_half_width,extrapolation_or_abstention_flag,measurement_modality,source_family,training_mmp_cliff_member,mmp_analog_covered,observation_count,label_range,label_mad,protocol_completeness_mean,conflict_review,lineage_or_evaluation_caution,nearest_analog_ids,nearest_analog_similarities
HSTR-2E8F5869EC10177C4C88E521,HSCF-AB151C259C9CC9CECA5E32A5CB06CBE36F21B0E4661B5E2DACED25F6320B54BF,0,8.431798275933005,8.06872518063329,0.36307309529971477,6.856929302215576,1.5748689737174288,1.211795878417714,531.623,4.6449,65.65,11.0,0.7325581395348837,0.960840556938126,True,patch_clamp_electrophysiology,chembl_herg_specialized_view,True,True,3,3.4317982760000003,6.699529819798045e-11,2.3333333333333335,True,True,"[""HSTR-7DC712C54962A6E72C024932"", ""HSTR-83C77AC8F0FFE8900265652C"", ""HSTR-F3F3E1CB1D674937746D67A8""]","[0.7325581395348837, 0.6781609195402298, 0.6206896551724138]"
HSTR-D418828F44863FD30A497494,HSCF-AB151C259C9CC9CECA5E32A5CB06CBE36F21B0E4661B5E2DACED25F6320B54BF,0,8.455931955649724,8.031015014975846,0.424916940673878,6.835571765899658,1.6203601897500661,1.1954432490761882,527.66,4.7378,65.65,11.0,0.7241379310344828,0.960840556938126,True,patch_clamp_electrophysiology,chembl_herg_specialized_view,True,True,5,0.5975123635772412,0.1638568026386693,3.2,True,True,"[""HSTR-7DC712C54962A6E72C024932"", ""HSTR-83C77AC8F0FFE8900265652C"", ""HSTR-F3F3E1CB1D674937746D67A8""]","[0.7241379310344828, 0.6333333333333333, 0.6136363636363636]"
HSTR-BAC9C72EBAA7A6872254F546,HSCF-AB151C259C9CC9CECA5E32A5CB06CBE36F21B0E4661B5E2DACED25F6320B54BF,0,8.161150909,7.998585463457119,0.16256544554288066,6.842036724090576,1.3191141849094237,1.156548739366543,527.66,4.7378,65.65,11.0,0.7241379310344828,0.960840556938126,True,patch_clamp_electrophysiology,chembl_herg_specialized_view,True,True,3,3.3915998306410184,2.6274449282936985e-10,2.3333333333333335,True,True,"[""HSTR-7DC712C54962A6E72C024932"", ""HSTR-83C77AC8F0FFE8900265652C"", ""HSTR-F3F3E1CB1D674937746D67A8""]","[0.7241379310344828, 0.6333333333333333, 0.6136363636363636]"
HSTR-27FAB96CEA665D11FAB0C1F4,HSCF-AB151C259C9CC9CECA5E32A5CB06CBE36F21B0E4661B5E2DACED25F6320B54BF,0,8.06246936830415,8.03769646967952,0.02477289862462939,6.8981499671936035,1.1643194011105464,1.139546502485917,483.607,4.7212,56.42,9.0,0.7590361445783133,0.960840556938126,True,patch_clamp_electrophysiology,chembl_herg_specialized_view,True,True,4,3.4471580316782386,0.2385606275278409,2.75,True,True,"[""HSTR-7DC712C54962A6E72C024932"", ""HSTR-03F60B0C3023D6F7C54F021F"", ""HSTR-470DAFA65929196D841C2CE6""]","[0.7590361445783133, 0.6951219512195121, 0.5909090909090909]"
HSTR-F138AFAFDDC483B005830ED1,HSCF-AB151C259C9CC9CECA5E32A5CB06CBE36F21B0E4661B5E2DACED25F6320B54BF,0,8.214670164989233,7.83357869381958,0.38109147116965314,6.860229969024658,1.3544401959645747,0.9733487247949215,497.634,5.1113,56.42,9.0,0.7590361445783133,0.960840556938126,True,patch_clamp_electrophysiology,chembl_herg_specialized_view,True,True,3,3.3286135173068363,1.0766498803604918e-11,2.3333333333333335,True,True,"[""HSTR-7DC712C54962A6E72C024932"", ""HSTR-83C77AC8F0FFE8900265652C"", ""HSTR-F3F3E1CB1D674937746D67A8""]","[0.7590361445783133, 0.6627906976744186, 0.6428571428571429]"
HSTR-6C0B7C61478DEB4E1D4F4F0E,HSCF-1EE2523558D99FE14390819A3869B533103B75CC8CB4F7ED6424E5658FF905DE,2,8.102098213,8.008238834506933,0.09385937849306636,7.039882183074951,1.0622160299250485,0.9683566514319821,488.594,4.92,43.78,3.0,0.7538461538461538,0.9780001955240021,True,unresolved,quantitative_pic50_release,False,True,2,0.0005493919999999264,0.0002746959999999632,0.0,True,True,"[""HSTR-2FA805F478E9826B2D20A00D"", ""HSTR-18B86A941AB90E1DAC869E6F"", ""HSTR-E5B0519216BA7936765ED3A2""]","[0.7538461538461538, 0.7538461538461538, 0.5135135135135135]"
HSTR-57AA7EC0EE4641442BB48487,HSCF-1EE2523558D99FE14390819A3869B533103B75CC8CB4F7ED6424E5658FF905DE,2,8.101823517,8.07417076136913,0.027652755630869663,7.108994960784912,0.9928285562150876,0.9651758005842179,488.594,4.92,43.78,3.0,0.7538461538461538,0.9780001955240021,True,unresolved,quantitative_pic50_release,False,True,1,0.0,0.0,0.0,False,False,"[""HSTR-18B86A941AB90E1DAC869E6F"", ""HSTR-2FA805F478E9826B2D20A00D"", ""HSTR-6515A7DA5820DCAC81A32E11""]","[0.7538461538461538, 0.7538461538461538, 0.5135135135135135]"
HSTR-EE52B884E91E03F975A21EE3,HSCF-DDB22C39C4121DFE49112507906EB1012A198E264FB3C7D449B62E51BB1EEDA5,1,7.655607726157445,6.999797783318622,0.6558099428388235,6.14068603515625,1.5149216910011951,0.8591117481623716,338.745,3.88472,55.73,5.0,0.7241379310344828,0.969152967196047,True,radioligand_binding,chembl_herg_specialized_view,True,True,2,3.148885596715445e-10,1.5744427983577225e-10,1.0,False,False,"[""HSTR-BBC69130D82E1F394FFFD689"", ""HSTR-11C835B64FF4802665B03945"", ""HSTR-04D3B503E6D2E9277F0FA34C""]","[0.7241379310344828, 0.7068965517241379, 0.7]"
HSTR-06387AE976E1B5BAE8EC1238,HSCF-FBF870289D26287A125F5AE4F4C7A8F057E5F77DCF5052624AB434ED56FE2FBD,1,7.657577319,7.148866210732719,0.5087111082672804,6.293970584869385,1.3636067341306148,0.8548956258633345,336.464,4.5445,41.05,5.0,0.75,0.969152967196047,True,unresolved,quantitative_pic50_release,True,True,1,0.0,0.0,0.0,False,False,"[""HSTR-AFAC4367278A7C79F38C0489"", ""HSTR-6F0491F9B78A329D5774470D"", ""HSTR-54BF904D707FD570814B4FE2""]","[0.75, 0.75, 0.7254901960784313]"
HSTR-803F4396ADFE6C1D78F6084D,HSCF-1D8C1F713AFBCAA4AE551C18FB018D8E44792FEBB38E9682D8DE0C5F8A2CFFA6,0,7.958607315,7.425180432056685,0.5334268829433153,6.5763258934021,1.3822814215979005,0.8488545386545852,479.528,4.2418,83.29,6.0,0.7466666666666667,0.960840556938126,True,unresolved,quantitative_pic50_release,True,True,1,0.0,0.0,0.0,False,False,"[""HSTR-5AC80DCD43C9F0954B0A83CD"", ""HSTR-29168C5042983A16C23947AC"", ""HSTR-3304CF1102E751B85763C743""]","[0.7466666666666667, 0.7466666666666667, 0.6835443037974683]"
