PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Total_Fluorescence-Curve_Description,Total_Fluorescence-Fit_LogAC50,Total_Fluorescence-Fit_HillSlope,Total_Fluorescence-Fit_R2,Total_Fluorescence-Fit_InfiniteActivity,Total_Fluorescence-Fit_ZeroActivity,Total_Fluorescence-Fit_CurveClass,Total_Fluorescence-Excluded_Points,Total_Fluorescence-Max_Response,Total_Fluorescence-Activity at 0.0000080105 uM,Total_Fluorescence-Activity at 0.0000240316 uM,Total_Fluorescence-Activity at 0.0000720949 uM,Total_Fluorescence-Activity at 0.0002162846 uM,Total_Fluorescence-Activity at 0.0006488539 uM,Total_Fluorescence-Activity at 0.00195 uM,Total_Fluorescence-Activity at 0.00584 uM,Total_Fluorescence-Activity at 0.011 uM,Total_Fluorescence-Activity at 0.024 uM,Total_Fluorescence-Activity at 0.056 uM,Total_Fluorescence-Activity at 0.112 uM,Total_Fluorescence-Activity at 0.185 uM,Total_Fluorescence-Activity at 0.370 uM,Total_Fluorescence-Activity at 0.739 uM,Total_Fluorescence-Activity at 1.479 uM,Total_Fluorescence-Activity at 2.959 uM,Total_Fluorescence-Activity at 5.916 uM,Total_Fluorescence-Activity at 11.83 uM,Total_Fluorescence-Activity at 23.66 uM,Total_Fluorescence-Activity at 47.32 uM,Total_Fluorescence-Activity at 94.62 uM,Total_Fluorescence-Activity at 143.8 uM,Total_Fluorescence-Activity at 287.5 uM,FP-Curve_Description,FP-Fit_LogAC50,FP-Fit_HillSlope,FP-Fit_R2,FP-Fit_InfiniteActivity,FP-Fit_ZeroActivity,FP-Fit_CurveClass,FP-Excluded_Points,FP-Max_Response,FP-Activity at 0.0000080105 uM,FP-Activity at 0.0000240316 uM,FP-Activity at 0.0000720949 uM,FP-Activity at 0.0002162846 uM,FP-Activity at 0.0006488539 uM,FP-Activity at 0.00195 uM,FP-Activity at 0.00584 uM,FP-Activity at 0.011 uM,FP-Activity at 0.024 uM,FP-Activity at 0.056 uM,FP-Activity at 0.112 uM,FP-Activity at 0.185 uM,FP-Activity at 0.370 uM,FP-Activity at 0.739 uM,FP-Activity at 1.479 uM,FP-Activity at 2.959 uM,FP-Activity at 5.916 uM,FP-Activity at 11.83 uM,FP-Activity at 23.66 uM,FP-Activity at 47.32 uM,FP-Activity at 94.62 uM,FP-Activity at 143.8 uM,FP-Activity at 287.5 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,8.01054e-06,2.40316e-05,7.20949e-05,0.000216285,0.000648854,0.00194656,0.00583969,0.0112249,0.0238435,0.0560651,0.112145,0.184829,0.36984,0.73946,1.47885,2.95914,5.91568,11.8325,23.6627,47.3166,94.616,143.761,287.522,,,,,,,,,,8.01054e-06,2.40316e-05,7.20949e-05,0.000216285,0.000648854,0.00194656,0.00583969,0.0112249,0.0238435,0.0560651,0.112145,0.184829,0.36984,0.73946,1.47885,2.95914,5.91568,11.8325,23.6627,47.3166,94.616,143.761,287.522,
1,49667546,2952491,CC1=CC=C(C=C1)C2=NN(C(C2)C3=CC=CC=C3F)C(=O)C4=CC=CC=C4F,Inactive,0,,,Activator,158.489,41.5031,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,13.9067,,,,,,,,,,,,0.1541,3.0021,1.5805,0.7942,1.783,0.7339,5.8675,6.2416,3.2542,6.8313,7.1361,13.9067,Single point of activity,-3.8,3.9295,0.9293,35.8531,-5.6501,3,0 0 0 0 0 0 0 0 0 0 0 0,43.0884,,,,,,,,,,,,-6.9738,-2.2416,-7.5965,-7.0984,-2.7397,-6.4757,-4.8568,-5.1059,-5.9776,-6.2267,8.5928,43.0884,QC'd by InterBioScreen
2,22410394,6902062,C1=CC=C(C=C1)C2=NN(C=C2/C=N/NC(=O)C3=CC=CC=C3O)C4=CC=CS4,Inconclusive,10,,,Quencher,39.8107,65.9481,,Partial curve; partial efficacy,-4.4,1.9282,0.9861,-66.9226,-0.9745,-2.2,0 0 0 0 0 0 0 0 0 0 1 1,-20.3102,,,,,,,,,,,,-0.3063,0.4068,-0.0582,-1.9532,1.6322,-5.1149,-5.6949,-14.0316,-27.9154,-53.1132,-40.9382,-20.3102,Partial curve; partial efficacy,-4.25,1.8265,0.9144,-63.1756,-5.6787,-2.2,0 0 0 0 0 0 0 0 0 1 0 1,3.9851,,,,,,,,,,,,-0.1245,-6.7248,-1.7435,-14.4458,-10.7098,-12.3288,-4.2341,-11.0834,-23.1631,-98.7547,-55.4172,3.9851,QC'd by Enamine
3,17410967,1069494,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC(=CC=C3)Cl,Inconclusive,10,,,Quencher,31.6228,41.081,,Partial curve; partial efficacy,-4.5,1.21,0.9832,-54.0877,-13.0066,-2.2,0 0 0 0 0 0 0 0 0 0 1 1,-9.0825,,,,,,,,,,,,-10.0055,-13.9823,-13.5108,-13.3468,-16.7148,-17.1837,-19.3224,-25.8333,-35.8127,-42.8695,-23.786,-9.0825,Complete curve; partial efficacy,-4.699,4.5045,0.9223,-63.3182,0.8182,-1.2,0 0 0 0 0 0 0 0 0 0 0 1,-26.2121,,,,,,,,,,-13.1818,0.6061,-6.2121,5.6061,9.697,-3.6364,8.1818,6.8182,-11.8182,-53.3333,-62.1212,-26.2121,,,QC'd by DPISMR
4,24841440,16196973,CC(=O)C1=C(C=C(C=C1O)O)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.8786,,,,,,,,,,-0.3949,0.9311,1.1447,0.4437,-1.1183,2.9532,2.5,0.8411,0.1979,-2.124,-0.8873,-1.8786,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-19.3939,,,,,,,,,,-1.3636,-2.8788,-0.1515,8.4848,1.2121,-3.4848,5.1515,4.8485,0.1515,-0.7576,-3.0303,-19.3939,,,QC'd by AnalytiCon Discovery GmbH
5,49646648,917183,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-9.6906,,,,,,,,,,,,2.2536,0.7636,-0.8226,2.4751,1.9301,2.2427,3.4972,-1.4139,0.5252,-7.2025,-7.664,-9.6906,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 1,3.9851,,,,,,,,,,,,2.6152,1.7435,-3.6115,9.34,1.4944,-1.1208,1.7435,1.4944,-10.3362,-5.7285,-0.6227,3.9851,QC'd by InterBioScreen
