PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,318375132,54765302,CCCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NCC(S4)(C)C,Active,,,,9.2,IC50,=,9200,nM
2,482048513,168270218,CC(C)CNC1=NC=C2C(=C1)C(=NC=N2)NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C#N,Unspecified,,,,10,IC50,>,10000,nM
3,482050336,168271466,C1CCN(C1)C2=NC=C3C(=C2)C(=NC=N3)NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,6.5,IC50,=,6500,nM
4,482050625,168271650,C1CN(CCC1NC2=NC=NC3=C2N=C(C=C3)NCCN)CC4CN(C4)C5=CC=C(C=C5)C#N,Active,,,,9.8,IC50,=,9800,nM
5,482053440,168273652,C1CN(CCC1NC2=NC=NC3=C2C=C(C=C3)Br)CC4CN(C4)C5=CC=C(C=C5)C#N,Unspecified,,,,10,IC50,>,10000,nM
6,482053848,168273937,CC(C)(C)OC(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)NC5=NC=NC6=C5N=C(C=C6)Cl,Active,,,,2.3,IC50,=,2300,nM
7,482053912,168273983,CN(C)CCNC1=NC2=C(C=C1)N=CN=C2NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C#N,Active,,,,4.4,IC50,=,4400,nM
8,482057908,168276951,CCNCCNC1=NC2=C(C=C1)N=CN=C2NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C#N,Unspecified,,,,10,IC50,>,10000,nM
9,482058516,168277379,COC(CNC1=NC2=C(C=C1)N=CN=C2NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C#N)OC,Unspecified,,,,10,IC50,>,10000,nM
10,482060021,168278484,CC(C)(C)OC(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)NC5=NC=NC6=C5N=C(C=C6)OCCN(C)C,Active,,,,2,IC50,=,2000,nM
11,482060740,168278998,C1CN(CCC1NC2=NC=NC3=C2N=C(C=C3)OCC(F)(F)F)CC4CN(C4)C5=CC=C(C=C5)C#N,Active,,,,5.6,IC50,=,5600,nM
12,482060829,168279065,C1CN(CCC1NC2=NC=NC3=CN=C(C=C32)OCC(F)(F)F)CC4CN(C4)C5=CC=C(C=C5)C#N,Unspecified,,,,10,IC50,>,10000,nM
13,482062039,168279947,CN(C)C1CCN(CC1)C2=NC3=C(C=C2)N=CN=C3NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,9.8,IC50,=,9800,nM
14,482062113,168280001,C1CN(CCC1NC2=NC=NC3=C2N=C(C=C3)N4CCNCC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,2.2,IC50,=,2200,nM
15,482062884,168280574,C1CN(CCC1NC2=NC=NC3=C2N=C(C=C3)Cl)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6=CC=NC=C6,Active,,,,2,IC50,=,2000,nM
16,482066113,168282939,CN(C)CCOC1=NC2=C(C=C1)N=CN=C2NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6=CC=NC=C6,Active,,,,1.5,IC50,=,1500,nM
17,482066570,168283268,CC(C)NC1=NC=C2C(=C1)C(=NC=N2)NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C#N,Unspecified,,,,10,IC50,>,10000,nM
18,482068020,168284315,C1CN(CCC1NC2=NC=NC3=CN=C(C=C32)Cl)CC4CN(C4)C5=CC=C(C=C5)C#N,Unspecified,,,,10,IC50,>,10000,nM
19,482069990,168285736,CC(C)(C)OC(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)NC5=NC=NC6=CN=C(C=C65)Cl,Unspecified,,,,10,IC50,>,10000,nM
20,482071741,168286999,CN(C)CCOC1=NC2=C(C=C1)N=CN=C2NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CC6,Active,,,,0.3,IC50,=,300,nM
21,482074338,168288900,CN1CCN(CC1)C2=NC3=C(C=C2)N=CN=C3NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,5.6,IC50,=,5600,nM
22,482074776,168289220,C1CN(CCC1NC2=NC=NC3=C2N=C(C=C3)Cl)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6=CC=CC=N6,Active,,,,2.5,IC50,=,2500,nM
23,482075435,168289691,C1CN(CCC1NC2=NC=NC3=CN=C(C=C32)Cl)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6=CC=NC=C6,Active,,,,9,IC50,=,9000,nM
24,482075601,168289795,CN1CCN(CC1)C2=NC=C3C(=C2)C(=NC=N3)NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,6.7,IC50,=,6700,nM
25,482076398,168290383,CCN(CC)CCNC1=NC2=C(C=C1)N=CN=C2NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C#N,Active,,,,4.2,IC50,=,4200,nM
26,482077058,168290850,C1CC1S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)NC5=NC=NC6=C5N=C(C=C6)Cl,Active,,,,6.6,IC50,=,6600,nM
27,482077421,168291111,C1CC1CNC2=NC=C3C(=C2)C(=NC=N3)NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Unspecified,,,,10,IC50,>,10000,nM
28,482078251,168291739,CN(C)CCN(C)C1=NC2=C(C=C1)N=CN=C2NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C#N,Active,,,,3.2,IC50,=,3200,nM
29,482078409,168291863,C1CC1NC2=NC=C3C(=C2)C(=NC=N3)NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Unspecified,,,,10,IC50,>,10000,nM
30,482078915,168292213,CN(C)CCOC1=NC2=C(C=C1)N=CN=C2NC3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C#N,Active,,,,1.5,IC50,=,1500,nM
31,482079446,168292594,C1CN(CCC1NC2=NC=NC3=C2N=C(C=C3)NCCO)CC4CN(C4)C5=CC=C(C=C5)C#N,Unspecified,,,,10,IC50,>,10000,nM
32,482079541,168292667,C1CN(CCC1NC2=NC=NC3=C2N=C(C=C3)Cl)CC4CN(C4)C5=CC=C(C=C5)C#N,Unspecified,,,,10,IC50,>,10000,nM
33,482082239,168294492,C1CCC(C1)NC2=NC=C3C(=C2)C(=NC=N3)NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Unspecified,,,,10,IC50,>,10000,nM
34,482083015,168294945,C1CCN(CC1)C2=NC=C3C(=C2)C(=NC=N3)NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Unspecified,,,,10,IC50,>,10000,nM
35,482084356,168295701,C1CN(CCC1NC2=NC=NC3=CN=C(C=C32)N4CCOCC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Unspecified,,,,10,IC50,>,10000,nM
36,482084660,168295850,C1CN(CCC1NC2=NC=NC3=C2C=C(C=C3)CC(F)(F)F)CC4CN(C4)C5=CC=C(C=C5)C#N,Unspecified,,,,10,IC50,>,10000,nM
37,482084991,168296048,CN(C)CCN(C)C1CCN(CC1)C2=NC=C3C(=C2)C(=NC=N3)NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,3.5,IC50,=,3500,nM
38,482086718,168297048,CN(C)C1CCN(CC1)C2=NC=C3C(=C2)C(=NC=N3)NC4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,3,IC50,=,3000,nM
