PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000106889 uM,Activity at 0.0000320667 uM,Activity at 0.0000962002 uM,Activity at 0.0002886007 uM,Activity at 0.0008658020 uM,Activity at 0.00260 uM,Activity at 0.00779 uM,Activity at 0.015 uM,Activity at 0.032 uM,Activity at 0.075 uM,Activity at 0.150 uM,Activity at 0.246 uM,Activity at 0.492 uM,Activity at 0.984 uM,Activity at 1.967 uM,Activity at 3.937 uM,Activity at 7.870 uM,Activity at 15.74 uM,Activity at 31.48 uM,Activity at 62.95 uM,Activity at 125.9 uM,Activity at 191.7 uM,Activity at 383.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14737247,3643101,C1C(CC(=O)C2=C1OC(=C(C2C3=CC=C(C=C3)OCC4=C(C=CC=C4Cl)F)C#N)N)C5=CC=CO5,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-26.0891,,,,,,,,,,,,-5.246,-3.2249,-1.0366,1.8588,-1.6081,-2.3065,-2.2859,-1.6143,-1.9543,-3.5113,-9.2823,-26.0891,QC'd by DPISMR
16,17416281,2967728,CCOC1=C(C=CC(=C1)CNCCC2=CC=C(C=C2)S(=O)(=O)N)OCC3=CC=CC=C3.Cl,Active,45,,,Inhibitor,251.189,93.6725,,Partial curve; high efficacy,-3.6,3.132,0.9969,-101.714,-8.0416,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-82.7379,,,,,,,,,,,,-7.0616,-7.232,-7.1493,-8.5764,-9.7936,-8.3154,-7.5306,-8.6609,-10.026,-14.4968,-34.4689,-82.7379,QC'd by DPISMR
17,49680704,16245491,CC(=O)C1=CC(=CC=C1)OCC(CNCC2COC3=CC=CC=C3O2)O.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,6.0531,,,,,,,,,,2.4829,3.6163,3.6938,6.0379,6.9961,6.5313,10.1347,6.9714,1.6812,7.7273,4.3255,6.0531,,,QC'd by Enamine
18,24783372,2478762,CC1=C(OC2=C1C=CC3=CC=CC=C32)C(=O)OCC(=O)NC4=CC=C(C=C4)S(=O)(=O)N,Inconclusive,26,,,Inhibitor,398.107,93.6691,,Partial curve; partial efficacy,-3.4,2.5884,0.9823,-100,-6.3309,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-55.6113,,,,,,,,,,,,-2.9725,-5.7917,-5.6588,-6.7166,-6.0467,-7.4538,-6.0245,-6.7237,-7.3812,-6.8538,-17.719,-55.6113,QC'd by Enamine
19,22402181,1585282,COC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NN=C(S3)N,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 1 0 0 0 0 0,-7.5342,,,,,,,,,,-1.67,3.6037,8.5641,5.2696,0.4136,4.0469,9.5177,2.5275,3.1369,-2.2335,-5.6058,-7.5342,,,QC'd by InterBioScreen
20,24780245,1381590,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N,Active,41,,,Inhibitor,63.0515,80.8452,,Partial curve; partial efficacy,-4.2003,2.5334,0.9919,-76.2697,4.5755,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-68.5581,,,,,,,,,,6.2655,4.3076,1.7507,9.9317,3.4088,2.253,3.8316,3.4158,-1.2102,-12.3176,-45.5679,-68.5581,,,QC'd by Asinex Ltd.
21,17514497,4337122,CC1CCCN(C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3C4=NC5=CC=CC=C5N4,Inconclusive,20,,,Inhibitor,50.1187,36.1496,,Partial curve; partial efficacy,-4.3,0.8,0.9366,-43.9878,-7.8381,-2.2,0 0 0 0 0 0 0 0 1 1 0 0,-34.0816,,,,,,,,,,-4.8651,-8.477,-13.0708,-6.498,-7.1659,-13.1984,-13.8198,-14.2041,-25.276,-27.3825,-28.446,-34.0816,,,QC'd by Life Chemicals
22,49667058,24761147,CC(=O)NC1C2=C(C=CC(=C2)Cl)N(C1=O)CCN3CCOCC3.Cl,Inconclusive,20,,,Inhibitor,99.93,52.8061,,Partial curve; partial efficacy; poor fit,-4.0003,3.132,0.8898,-55.6016,-2.7956,-2.4,0 0 0 0 0 0 0 0 0 0 0 0,-57.9184,,,,,,,,,,-5.4549,-7.3681,0.0374,-0.8347,-1.7244,-3.9663,-0.2925,-5.1387,-0.6808,-6.714,-10.4411,-57.9184,,,QC'd by InterBioScreen
23,49643008,2876731,CCCC(=O)NC(C1=C(C2=C(C=CC=N2)C=C1)O)C3=CC=CC=C3Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 1 0,-11.8286,,,,,,,,,,-0.1056,-4.2643,0.0378,-1.5654,-0.1361,3.1251,0.8555,4.009,-2.4856,4.7751,3.9391,-11.8286,,,QC'd by Asinex Ltd.
24,49734034,24793473,CCCN1C2=CC(=C(C=C2N=C1C3CCCN3C4=NC(=CS4)C)Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,1.0803,,,,,,,,,,-1.7929,1.2704,6.8526,9.756,-0.263,6.1236,2.5031,7.1689,0.9391,7.442,4.0962,1.0803,,,QC'd by Viktor Krchnak - Univ. of Notre Dame - MLI PSL
25,844955,6603458,CCCC(C1=NN=NN1CC2=CC=CS2)N3CCN(CC3)C4CCCC4.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-23.5576,,,,,,,,,,-0.772,6.413,7.5656,1.8789,3.4259,8.7622,3.4983,0.6831,4.1456,-0.3109,-3.1353,-23.5576,,,QC'd by DPISMR
26,4252103,3245698,C1CN(CCN1C2=CC=CC=N2)C(=O)CCN3C(=O)C=CC(=N3)C4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,4.1033,,,,,,,,,,1.8554,5.7292,7.4543,5.1461,4.9129,3.9365,6.0951,-0.5465,0.5047,1.9828,6.5026,4.1033,,,QC'd by DPISMR
27,26757967,71335,CN1C[C@@H]2C[C@H]1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,Inactive,0,,,Inactive,,,,,,,,,,4,,5.0098,,,,,,,,,,3.9137,-0.646,4.7103,4.532,4.2998,7.5131,8.1908,1.7534,6.6067,3.1157,1.6554,5.0098,,,QC'd by Sequoia
28,26757045,16760119,CC[C@@]12C=CCN3C1[C@]4(CC3)[C@H]([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=C4C=CC(=C5)OC)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0 0 0 0 0 1,4.476,,,,,,,,,,6.5136,6.8366,1.5002,2.685,2.445,6.1388,7.6032,5.214,3.079,5.4527,-1.4792,4.476,,,QC'd by BIOMOL
29,14745475,2308236,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=CS3)C(=O)NC4=CC5=CC=CC=C5C=C4,Inconclusive,27,,,Inhibitor,630.957,98.5,,Partial curve; partial efficacy,-3.2,1.331,0.9794,-100,-1.5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-33.8095,,,,,,,,,,,,-1.8503,-1.6816,-3.2751,-2.1992,0.5041,-2.1126,-1.5737,-0.1051,-2.8067,-9.2566,-20.1902,-33.8095,QC'd by DPISMR
30,47201956,2266660,CC1=CC=C(C=C1)NC(=O)CN2C(=O)/C(=C/C3=CC=C(C=C3)C(=O)O)/SC2=O,Inconclusive,20,,,Inhibitor,99.93,45.3756,,Single point of activity,-4.0003,3.9295,0.883,-39.8756,5.5,-3,0 0 0 0 0 0 0 0 0 0 0 0,-47.471,,,,,,,,,,5.5725,6.9191,8.2245,4.1278,3.8769,3.6882,3.4931,4.696,4.2535,5.2694,1.1016,-47.471,,,QC'd by ChemBridge
31,17507048,1110886,CC(=O)NC1=CC=C(C=C1)C2=CC(=NC(=N2)C3=CC=C(C=C3)NC(=O)C)C4=CC=C(C=C4)NC(=O)C,Active,41,,,Inhibitor,79.3772,65.5029,,Partial curve; partial efficacy,-4.1003,3.5722,0.9678,-65.1818,0.3212,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-60.3535,,,,,,,,,,-3.0191,-2.7965,5.8105,-3.6877,1.2625,-2.3982,6.4347,-0.6332,3.0092,-6.5516,-31.2816,-60.3535,,,QC'd by Asinex Ltd.
32,17414935,5739268,COC1=CC=CC(=C1)C2=NN(C=C2/C=C\C(=O)C3=CC=CS3)C4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,3.6058,,,,,,,,,,7.3204,6.8149,9.2127,9.0576,1.3466,3.8421,5.6609,7.5418,2.6783,3.2203,4.7795,3.6058,,,QC'd by DPISMR
33,859414,660707,CC(=O)NC1=CC=C(C=C1)C2=CC3=CC=CC=C3O2,Inconclusive,20,,,Inhibitor,125.892,39.0008,,Single point of activity,-3.9,4.9549,0.8874,-40.5008,-1.5,-3,0 0 0 0 0 0 0 0 0 0 0 0,-33.7507,,,,,,,,,,-4.2175,-3.3308,-0.1002,-3.3791,-5.5059,1.81,-3.5633,0.2028,-0.3595,-3.3933,1.9518,-33.7507,,,QC'd by DPISMR
34,49649455,24747996,COC1=CC=C(C=C1)C(O)P(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.2858,,,,,,,,,,,,-6.687,-3.5512,-5.312,-2.63,-2.5247,-3.2578,-4.3752,-4.4839,-7.8959,1.9364,-0.9857,-5.2858,QC'd by Chem Div
35,4248322,866577,C1COCCN1C(=O)C2=CC3=C(S2)N=C4C=CC=CN4C3=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-10.8731,,,,,,,,,,,,-4.6787,-8.2794,-6.9906,-7.8139,-8.7681,-8.2331,-10.5141,-10.8041,-10.9502,-9.1914,-10.0797,-10.8731,QC'd by DPISMR
36,49679825,5977173,C1=CC=C2C(=C1)C=C(/C(=N\NC(=O)C3=CC(=CC=C3)F)/O2)C(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,12.1115,,,,,,,,,,-0.3705,4.582,6.5001,0.0174,0.3339,11.6187,6.9108,13.8854,-1.1913,8.1997,6.1542,12.1115,,,QC'd by Chem Div
37,49641872,3148550,CCOC(=O)CN1C=NC2=C(C1=O)C(=CS2)C3=CC(=C(C=C3)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 1 0 0 0 0 0 0,-3.2583,,,,,,,,,,6.026,5.7691,3.3061,3.9897,-3.8449,8.5943,8.3647,-0.5428,5.7994,2.8056,-0.9731,-3.2583,,,QC'd by Asinex Ltd.
38,49679731,6486044,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CSC(=C2)C(=O)N)C,Inactive,0,,,Inactive,,,,,,,,,,4,,3.147,,,,,,,,,,,,-4.2046,1.8889,0.2217,-0.7001,0.6832,0.8048,0.7974,0.2463,1.3485,3.7599,-2.0937,3.147,QC'd by Chem Div
39,49647151,1272562,CCOC(=O)C1=CN=C2C=CC(=CC2=C1NC3=CC=C(C=C3)N4CCN(CC4)C)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-21.7495,,,,,,,,,,,,-2.7239,-5.0516,-5.2852,-3.9407,-7.2762,-5.292,-5.2774,-2.5598,-5.8852,-3.7486,-7.2802,-21.7495,QC'd by InterBioScreen
40,17403598,719141,CCOC(=O)C1=C(N=C(S1)NC(=O)NC2=CC=C(C=C2)Cl)C,Inconclusive,21,,,Inhibitor,70.745,40.1403,,Partial curve; partial efficacy,-4.1503,2.6384,0.9202,-33.0501,7.0901,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-29.2836,,,,,,,,,,6.4053,3.3834,5.2145,8.8159,12.5194,5.2132,8.8277,10.8082,-1.1776,1.9587,-14.1951,-29.2836,,,QC'd by DPISMR
41,17410610,1432746,CC1=CC2=C(C=C1C)N=C(N2)C3=CN=C(C=C3)SCC(=O)NC4=CC5=C(C=C4)OCCO5,Inconclusive,26,,,Inhibitor,501.187,101,,Partial curve; partial efficacy,-3.3,1.4641,0.9623,-100,1,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-35.9304,,,,,,,,,,,,0,0.6257,0.3738,-0.7335,1.5448,-1.4047,-1.2654,0.3333,1.2498,-3.9954,-21.092,-35.9304,QC'd by DPISMR
42,49666417,3498566,C1CN(CCN1CCC(=O)C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,,-5.9763,,,,,,,,,,,,-3.8826,-2.3127,-3.1721,-2.6147,-3.3137,-1.764,-1.2763,-1.3011,-1.0446,-0.4683,0.1847,-5.9763,QC'd by Key Organics Ltd.
43,49716493,6035171,COC(=O)C1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=C(C=C3)C(=O)O)/C4=CC=CC=C4C2=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-21.4147,,,,,,,,,,,,-1.7848,1.0408,0.4163,3.7938,-1.3402,1.6421,1.511,3.01,6.8325,-1.9393,3.0537,-21.4147,QC'd by Chem Div
44,49678188,4831277,C1CN(CCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CC(COC4=CC=C(C=C4)C#N)O,Inconclusive,21,,,Inhibitor,79.3772,71.2053,,Partial curve; partial efficacy,-4.1003,2.9023,0.983,-65.2053,6,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-57.1976,,,,,,,,,,5.1436,5.9667,1.0298,5.9124,11.2675,9.4604,6.5874,4.946,2.5014,-2.2887,-28.638,-57.1976,,,QC'd by Enamine
45,17414114,732217,C1CC2=CC=CC=C2N(C1)C(=S)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,,7.7875,,,,,,,,,,-3.5828,3.5135,4.0009,1.9838,-4.2005,8.4734,2.1288,1.9609,4.1002,2.8725,-5.7675,7.7875,,,QC'd by DPISMR
46,26669773,54682197,C1=CC=C2C(=C1)C(=C(C(=O)O2)C(C3=CC=CC=N3)C4=C(C5=CC=CC=C5OC4=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1 0 1 0 0 0,-2.5135,,,,,,,,,,1.3613,2.2967,-3.1463,-2.408,-2.793,-2.3769,-6.5782,-2.4792,0.321,-5.8068,-2.2003,-2.5135,,,QC'd by null
47,49648669,7679511,CCCC1=CC(=O)OC2=C3CN(COC3=C(C=C12)Cl)CCCO,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-14.4992,,,,,,,,,,,,-1.7049,-0.153,-3.4772,-0.0183,0.2035,-0.9582,-0.68,-1.876,-1.5601,-4.254,-8.2136,-14.4992,QC'd by InterBioScreen
48,49716395,1257101,COC1=C(C=CC(=C1)SC)C(=O)NC2=CC=CC(=C2)C3OCCCO3,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.8731,,,,,,,,,,,,-2.6692,-3.899,-4.6998,-2.9682,-6.688,-1.5459,-3.5349,-4.2497,-6.1232,-3.9877,-2.6172,-11.8731,QC'd by Chem Div
49,14736450,1291616,COC1=CC=CC=C1CC(=O)NC2=CC=C(C=C2)C3=NOC(=N3)COC4=CC=C(C=C4)Br,Inconclusive,26,,,Inhibitor,398.107,99.6251,,Partial curve; partial efficacy,-3.4,1.6924,0.9864,-100,-0.3749,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-46.4882,,,,,,,,,,,,-1.3157,-0.8608,-1.6496,-0.6415,-1.9394,0.1272,2.261,0.017,-1.3493,-8.2359,-25.6424,-46.4882,QC'd by DPISMR
50,49678258,7207507,CC1=C(SC(=N1)C)C2=NN=C(C=C2)SCC3=CC=CC=C3F,Inactive,0,,,Inactive,,,,,,,,,,4,,2.1005,,,,,,,,,,3.884,3.8138,1.4438,3.2502,2.973,4.1576,8.3177,9.6482,5.4427,1.5749,6.0046,2.1005,,,QC'd by Life Chemicals
51,22402418,983525,C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)C3=CN4C=CC=NC4=N3,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.9846,,,,,,,,,,,,-2.7141,-5.2169,-4.1429,-3.9251,-2.142,-3.0442,-1.7255,-2.901,-0.2634,-2.7471,-2.9403,-4.9846,QC'd by Life Chemicals
52,49645946,24747373,CCC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Inconclusive,20,,,Inhibitor,89.0627,33.6949,,Single point of activity,-4.0503,3.99,0.9376,-29.6949,4,-3,0 0 0 0 0 0 0 0 0 0 0 0,-31.4124,,,,,,,,,,1.1946,2.2179,1.4655,7.8987,2.9075,5.3652,1.9698,6.485,4.4208,2.9253,-6.3917,-31.4124,,,QC'd by InterBioScreen
53,17432568,1926761,CC(=O)C1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N/C=C/C(=O)C3=CC(=CC=C3)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-17.7975,,,,,,,,,,,,-0.3434,0.6951,0.1203,0.684,-0.2756,-1.0834,0.3708,0.4887,0.0195,1.654,-4.6344,-17.7975,QC'd by ChemBridge
54,49667092,8072991,CC1=C(N(C2=NC=NC(=C12)NCCC3=CC=CC=C3)CCOC)C,Inactive,0,,,Inactive,,,,,,,,,,4,,5.3368,,,,,,,,,,1.0083,0.7412,6.667,1.7302,2.8946,2.153,-0.8909,6.8478,5.8803,2.3389,4.0313,5.3368,,,QC'd by InterBioScreen
55,17407323,1792197,CN(C1=CC=CC=C1)S(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)/C=C/C3=CC=CC=C3OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-19.3297,,,,,,,,,,-0.7898,0.4432,0.4066,-0.2516,5.4997,4.0565,-1.69,-0.3286,-3.1781,-5.1812,-15.7855,-19.3297,,,QC'd by DPISMR
