PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,318375133,72201086,CC1(CN=C(S1)N2CCN(CC2)C3=C4C=C(SC4=NC=N3)CC(F)(F)F)C,Active,,,,0.046,IC50,=,46,nM
2,318388318,86297465,C1CN(CCN1C2=C3C=C(SC3=NC=N2)CC(F)(F)F)C4=NN=C(S4)C(F)(F)F,Active,,,,0.092,IC50,=,92,nM
3,318388319,90453086,CC1=NN=C(S1)N2CCN(CC2)C3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,0.779,IC50,=,779,nM
4,318388320,86297674,C1CN(CCN1C2=C3C=C(SC3=NC=N2)CC(F)(F)F)C4=NN=C(S4)CF,Active,,,,1.653,IC50,=,1653,nM
5,318388321,86297462,C1CN(CCN1C2=C3C=C(SC3=NC=N2)CC(F)(F)F)C4=NN=C(S4)C(F)F,Active,,,,0.082,IC50,=,82,nM
6,318388322,51001296,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NCC(S4)(C)C,Active,,,,1.2,IC50,=,1200,nM
7,318388323,91864570,CC1(CN=C(S1)N2CCN(CC2)C3=C4C=C(SC4=NC=N3)CCF)C,Active,,,,0.26,IC50,=,260,nM
8,318388324,122189305,CC1(CN=C(S1)N2CCN(CC2)C3=C4C=C(SC4=NC=N3)CC(F)F)C,Active,,,,0.065,IC50,=,65,nM
9,318388325,90453135,CC1(CN=C(S1)N2CCN(CC2)C3=C4C=C(SC4=NC=N3)C(C(F)(F)F)(F)F)C,Active,,,,0.674,IC50,=,674,nM
