PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,404651658,134241416,CC(C)(C#N)C1=CC=C(C=C1)CN2CCC3(C2)CCN(C3)C4=C5C=C(SC5=NC=N4)CC(F)(F)F,Active,,,,0.02,IC50,=,20,nM
2,404654499,134230022,C1CN(CC12CCN(C2)C3=C4C=C(SC4=NC=N3)CC(F)F)CC5=CC=C(C=C5)N6CCOCC6,Active,,,,0.01,IC50,=,10,nM
3,404654668,142280352,C1CN(CC12CCN(C2)C3=C4C=C(SC4=NC=N3)CC(F)(F)F)CC5=CC=C(C=C5)CC#N,Active,,,,0.02,IC50,=,20,nM
4,404655244,134230163,CC(C1=CC=C(C=C1)CN2CCC3(C2)CCN(C3)C4=C5C=C(SC5=NC=N4)CC(F)(F)F)S(=O)(=O)N,Active,,,,0.01,IC50,=,10,nM
5,404656357,134230019,C1CN(CC12CCN(C2)C3=NC=NC4=C3SC(=C4)CC(F)(F)F)CC5=CC=C(C=C5)CS(=O)(=O)N,Active,,,,0.01,IC50,=,10,nM
6,404658521,134229971,C=CC(=O)NC1=CC=C(C=C1)CN2CCC3(C2)CCN(C3)C4=C5C=C(SC5=NC=N4)CC(F)(F)F,Active,,,,0.01,IC50,=,10,nM
7,404667474,145960238,C1CN(CC12CCN(C2)C3=C4C=C(SC4=NC=N3)CC(F)(F)F)CC5=CC=C(C=C5)CS(=O)(=O)NCCO,Active,,,,0.01,IC50,=,10,nM
8,404671686,134229931,C1CN(CC12CCN(C2)C3=C4C=C(SC4=NC=N3)CC(F)(F)F)CC5=CC=C(C=C5)CS(=O)(=O)N,Active,,,,0.004,IC50,=,4,nM
9,404671985,134229965,CN(CCO)C1=CC=C(C=C1)CN2CCC3(C2)CCN(C3)C4=C5C=C(SC5=NC=N4)CC(F)(F)F,Active,,,,0.01,IC50,=,10,nM
