PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,164128092,71562787,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N,Active,,,,0.0267,Ki,=,26.7,nM,
2,164128092,71562787,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N,Active,,,,0.102,IC50,=,102,nM,
3,164128093,71563032,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=C(C=C5)Cl)CCCN=C(N)N,Active,,,,0.549,Ki,=,549,nM,
4,164128093,71563032,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=C(C=C5)Cl)CCCN=C(N)N,Active,,,,2.01,IC50,=,2010,nM,
5,164128116,71716131,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)C,Active,,,,0.311,Ki,=,311,nM,
6,164128116,71716131,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)C,Active,,,,1.06,IC50,=,1060,nM,
7,164130957,71563031,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)Cl)CCCN=C(N)N,Active,,,,0.0446,Ki,=,44.6,nM,
8,164130957,71563031,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)Cl)CCCN=C(N)N,Active,,,,0.159,IC50,=,159,nM,
9,164130991,71563153,CCC1=CC(=CC=C1)C[C@H]2C(=O)N3CCC[C@H]3C(=O)NC4(CCC4)C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)NCCCCCCCC[C@@H](C(=O)N2)N)CCCN=C(N)N,Active,,,,1.33,Ki,=,1330,nM,
10,164130991,71563153,CCC1=CC(=CC=C1)C[C@H]2C(=O)N3CCC[C@H]3C(=O)NC4(CCC4)C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)NCCCCCCCC[C@@H](C(=O)N2)N)CCCN=C(N)N,Active,,,,4.61,IC50,=,4610,nM,
11,164130992,71716759,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C,Active,,,,0.0711,Ki,=,71.1,nM,
12,164130992,71716759,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C,Active,,,,0.232,IC50,=,232,nM,
13,164130993,71562332,CCCCC[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N3CCC[C@H]3C(=O)NCC)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C,Active,,,,2.17,Ki,=,2170,nM,
14,164130993,71562332,CCCCC[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N3CCC[C@H]3C(=O)NCC)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C,Active,,,,7.39,IC50,=,7390,nM,
15,164130994,71562438,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,0.136,Ki,=,136,nM,
16,164130994,71562438,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,0.514,IC50,=,514,nM,
17,164131021,71562654,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)C)CCCN=C(N)N,Active,,,,0.586,Ki,=,586,nM,
