PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,194161158,71777742,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)N,Active,,,,3.6,IC50,=,3600,nM
2,440112068,138618570,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=CC=C7,Active,,,,0.5,IC50,=,500,nM
3,440119448,132104735,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CCN4CCOCC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,1.55,IC50,=,1550,nM
4,440121518,132090536,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,1.3,IC50,=,1300,nM
5,440122947,138618588,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCCOC5=CC=C(C=C5)C#N,Active,,,,1.4,IC50,=,1400,nM
6,440123026,132104733,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4=CC=NC=C4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,1.33,IC50,=,1330,nM
7,440125309,132104737,C1CCC(C1)C2(CNCC3=CC=CC=C32)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.98,IC50,=,980,nM
8,440125598,138454904,CNC(=O)O[C@H]1CCC[C@@H]1[C@@]2(CN(CC3=CC=CC=C32)C)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.025,IC50,=,25,nM
9,440126706,132104456,CCC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,2.2,IC50,=,2200,nM
10,440128669,132104448,CCCC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Unspecified,,,,10.7,IC50,=,10700,nM
11,440128742,132104137,CC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,1.7,IC50,=,1700,nM
12,440133597,132104444,CCO[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,4.3,IC50,=,4300,nM
13,440134605,155526758,CNC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.3,IC50,=,300,nM
14,440135922,138618490,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CCCC7,Active,,,,0.9,IC50,=,900,nM
15,440136735,132104367,CCS(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6,Active,,,,2.1,IC50,=,2100,nM
16,440138592,155529345,CC(=O)O[C@@H]1CCC[C@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Unspecified,,,,14.3,IC50,=,14300,nM
17,440142779,138618549,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CCN(C5)C6=CC=C(C=C6)C#N,Active,,,,2.4,IC50,=,2400,nM
18,440142949,132104373,CC(C)S(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6,Active,,,,1.1,IC50,=,1100,nM
19,440146010,132104378,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CC7,Active,,,,1.2,IC50,=,1200,nM
20,440150242,155536984,CO[C@@H]1CCC[C@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,2.4,IC50,=,2400,nM
21,440151377,138618542,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,1.3,IC50,=,1300,nM
22,440156629,132104449,CO[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Unspecified,,,,10.3,IC50,=,10300,nM
23,440157118,145397301,CN1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.38,IC50,=,380,nM
24,440164561,132104363,C1CCC(C1)C2(CN(CC3=CC=CC=C32)C4CCC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.9,IC50,=,900,nM
25,440168038,138618502,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CCCN(C5)C6=CC=C(C=C6)C#N,Active,,,,3.96,IC50,=,3960,nM
26,440173060,132104738,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4COC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,1.57,IC50,=,1570,nM
27,440173919,132104133,C1CCC(C1)C(C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Unspecified,,,,16.9,IC50,=,16900,nM
28,440176006,132104734,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)C5CCN(CC5)C6=CC=C(C=C6)C#N,Active,,,,6.33,IC50,=,6330,nM
29,440190288,155553832,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCCCOC5=CC=C(C=C5)C#N,Active,,,,0.5,IC50,=,500,nM
30,440194421,132104365,CC(C)N1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.91,IC50,=,910,nM
31,440202229,155558606,CC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,3.9,IC50,=,3900,nM
32,440207621,146512357,COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.8,IC50,=,800,nM
33,440208765,132104582,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CCC7,Active,,,,1.7,IC50,=,1700,nM
34,440211575,132090541,CCN1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.84,IC50,=,840,nM
35,440212989,155562826,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCOC5=CC=C(C=C5)C#N,Active,,,,1.8,IC50,=,1800,nM
36,440218121,132104382,C1CCC(CC1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)C5(C6=CC=CC=C6CCN5)C7CCCC7,Active,,,,1.1,IC50,=,1100,nM
37,440228834,132104372,CS(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6,Active,,,,4.43,IC50,=,4430,nM
38,440229248,132104736,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4CC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,1.37,IC50,=,1370,nM
