PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,318375133,72201086,CC1(CN=C(S1)N2CCN(CC2)C3=C4C=C(SC4=NC=N3)CC(F)(F)F)C,Active,,,,0.17,IC50,=,170,nM
2,440120367,90404759,C1CNCCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F,Unspecified,,,,32.81,IC50,=,32810,nM
3,440122042,155518660,CN(C)CCOC1=CC=CC(=C1)CN2CCC(CC2)NC3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,0.78,IC50,=,780,nM
4,440125355,155520722,CC1=CC(=CC=C1)CN2CCC(CC2)CNC3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,3.8,IC50,=,3800,nM
5,440125443,155520780,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC=NC=C4,Active,,,,2.7,IC50,=,2700,nM
6,440128146,90453281,COC1=CC=C(C=C1)CN2CCC(CC2)CNC3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,1.07,IC50,=,1070,nM
7,440129738,155523557,C1CN(CCN1CCCOC2=CC=C(C=C2)C#N)C3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,0.43,IC50,=,430,nM
8,440130545,155524091,C1CN(CCN1CCOC2=CC=C(C=C2)C#N)C3=C4C=C(SC4=NC=N3)CC(F)(F)F,Unspecified,,,,20,IC50,>,20000,nM
9,440132980,155525707,C1CN(CCN1CCNC2=CC=C(C=C2)C#N)C3=C4C=C(SC4=NC=N3)CC(F)(F)F,Unspecified,,,,20,IC50,>,20000,nM
10,440146795,86296883,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC(=CC=C4)N,Active,,,,1.26,IC50,=,1260,nM
11,440147472,155535215,C1CC1CN2CCC(CC2)NC3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,0.77,IC50,=,770,nM
12,440149588,155536566,C1CN(CCC1CNC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC=C(C=C4)F,Active,,,,1.17,IC50,=,1170,nM
13,440151721,155537984,C1CNCCC1OC2=CC=CC(=C2)CN3CCC(CC3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,13.39,IC50,=,13390,nM
14,440158095,155540958,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC(=CC=C4)OCCCN,Active,,,,0.67,IC50,=,670,nM
15,440162196,155542634,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC(=CC=C4)OCCN,Active,,,,1.22,IC50,=,1220,nM
16,440167479,155544751,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC=CO4,Active,,,,4.69,IC50,=,4690,nM
17,440175476,155547930,CNCCCOC1=CC=CC(=C1)CN2CCC(CC2)NC3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,1.12,IC50,=,1120,nM
18,440183330,90453299,C1CN(CCC1CNC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC=CC=C4,Active,,,,2.24,IC50,=,2240,nM
19,440186650,90453198,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CSC=C4,Active,,,,0.22,IC50,=,220,nM
20,440196794,155556416,CN(C)CCCOC1=CC=CC(=C1)CN2CCC(CC2)NC3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,7.35,IC50,=,7350,nM
21,440204726,155559584,C1CN(CCN1CCCNC2=CC=C(C=C2)C#N)C3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,1.54,IC50,=,1540,nM
22,440218098,155564912,CCCN1CCC(CC1)NC2=C3C=C(SC3=NC=N2)CC(F)(F)F,Active,,,,5.67,IC50,=,5670,nM
23,440218711,86296300,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC=CC=C4,Active,,,,0.47,IC50,=,470,nM
24,440219797,155565561,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC=C(C=C4)F,Active,,,,2,IC50,=,2000,nM
25,440220621,155565870,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CCC4=CC=CC=C4,Active,,,,1.8,IC50,=,1800,nM
26,440222068,130395593,COC1=CC=C(C=C1)CN2CCC(CC2)NC3=C4C=C(SC4=NC=N3)CC(F)(F)F,Active,,,,0.64,IC50,=,640,nM
27,440224403,155567343,CN1CCC(CC1)OC2=CC=CC(=C2)CN3CCC(CC3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Active,,,,2.35,IC50,=,2350,nM
