PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,528349511,178294449,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCCCC7,Active,,,,7.88,IC50,=,7880,nM
2,528349818,178294684,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCCC7,Active,,,,6.98,IC50,=,6980,nM
3,528351504,178295948,CCC(=O)N[C@@H]1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCN(CC4)C5=NC=NC=C5NC6=C(C=C(C=C6)F)C(=O)N(CC)C(C)C,Unspecified,,,,20,IC50,>,20000,nM
4,528352129,178296418,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)C(C)C4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Active,,,,7.897,IC50,=,7897,nM
5,528352751,178296867,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=CC(=C5)NC(=O)C=C,Active,,,,4.42,IC50,=,4420,nM
6,528353490,178297445,CCC(=O)N[C@H]1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCN(CC4)C5=NC=NC=C5NC6=C(C=C(C=C6)F)C(=O)N(CC)C(C)C,Unspecified,,,,20,IC50,>,20000,nM
7,528353804,178297669,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC[C@@H](C6)NC(=O)/C=C/CN(C)C,Unspecified,,,,20,IC50,>,20000,nM
8,528356104,178299446,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)C=C,Active,,,,4.81,IC50,=,4810,nM
9,528356882,178300046,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC(C6)NC(=O)/C=C/CN(C)C,Unspecified,,,,20,IC50,>,20000,nM
10,528357094,178300195,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Unspecified,,,,11.363,IC50,=,11363,nM
11,528357412,178300426,CCC(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCN(CC4)C5=NC=NC=C5NC6=C(C=C(C=C6)F)C(=O)N(C(C)C)C(C)C,Unspecified,,,,20,IC50,>,20000,nM
12,528357661,178300616,CCC(=O)NC1=CC(=CC=C1)N2CC(C2)CN3CCN(CC3)C4=NC=NC=C4NC5=C(C=C(C=C5)F)C(=O)N(C(C)C)C(C)C,Unspecified,,,,20,IC50,>,20000,nM
13,528357680,178300633,CCC(=O)NC1CN(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCN(CC4)C5=NC=NC=C5NC6=C(C=C(C=C6)F)C(=O)N(CC)C(C)C,Unspecified,,,,20,IC50,>,20000,nM
14,528357819,178300727,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC[C@H](C6)NC(=O)/C=C/CN(C)C,Unspecified,,,,20,IC50,>,20000,nM
15,528357844,178300747,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)NC(=O)C=C,Active,,,,4.28,IC50,=,4280,nM
16,528358352,178301118,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)NC(=O)/C=C/CN(C)C,Unspecified,,,,20,IC50,>,20000,nM
17,528358562,178301269,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC[C@H](C6)NC(=O)C=C,Unspecified,,,,20,IC50,>,20000,nM
18,528358616,178301306,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3C[C@H](N(C[C@@H]3C)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C)C,Unspecified,,,,18.007,IC50,=,18007,nM
19,528359737,178302131,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Active,,,,1.93,IC50,=,1930,nM
20,528360295,178302535,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC[C@@H](C6)NC(=O)C=C,Unspecified,,,,20,IC50,>,20000,nM
21,528373466,178312627,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)C(=O)C4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Unspecified,,,,20,IC50,>,20000,nM
22,528373756,178312851,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC(C6)NC(=O)C=C,Unspecified,,,,20,IC50,>,20000,nM
23,528376920,178315096,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(C(C3)C)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Active,,,,8.401,IC50,=,8401,nM
24,528383507,178319037,CCC(=O)NC1=CC=C(C=C1)N2CC(C2)CN3CCN(CC3)C4=NC=NC=C4NC5=C(C=C(C=C5)F)C(=O)N(C(C)C)C(C)C,Active,,,,8.26,IC50,=,8260,nM
