PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103181534,23036271,C1CN(CCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CCCOC4=CC=CC=C4,Unspecified,,,,250,IC50,>,250000,nM,Outside typical range
2,194140437,46926630,CC(C1CCN(CC1)CCCOC2=CC=C(C=C2)C#N)(C3=CC=CC=C3)O,Unspecified,,,,295,IC50,=,295000,nM,Outside typical range
3,194140438,49791890,C1CCC(C1)[C@@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,,,,0.27,IC50,=,270,nM,
4,194140439,73297280,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC(=CC=C4)F)O,Active,,,,0.197,IC50,=,197,nM,
5,194141120,4831277,C1CN(CCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CC(COC4=CC=C(C=C4)C#N)O,Unspecified,,,,12.8,IC50,=,12800,nM,
