PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,194140439,73297280,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC(=CC=C4)F)O,Active,,,,0.197,IC50,=,197,nM
2,194154158,73297282,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC(=CC=C4)Cl)O,Active,,,,0.226,IC50,=,226,nM
3,194154159,73297286,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=NC=CS4)O,Active,,,,0.242,IC50,=,242,nM
4,194161157,46926632,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,,,,0.39,IC50,=,390,nM
5,194161160,71777749,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)S(=O)(=O)N)(C4=CC=CC=N4)O,Active,,,,0.114,IC50,=,114,nM
6,194181755,73297278,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC(=CC(=C4)F)F)O,Active,,,,0.437,IC50,=,437,nM
7,194188578,73297279,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=N4)O,Active,,,,0.302,IC50,=,302,nM
8,318375126,86582590,COC1=CC=CC(=C1)C(C2CCCC2)(C3CCN(CC3)CCCOC4=CC=C(C=C4)C#N)O,Active,,,,1.1,IC50,=,1100,nM
9,318375127,86582433,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4CCCCN4)O,Unspecified,,,,28,IC50,=,28000,nM
10,318375128,73297281,C1CN(CCC1C(C2=CC(=CC=C2)F)(C3=NC=CS3)O)CCCOC4=CC=C(C=C4)C#N,Active,,,,0.46,IC50,=,460,nM
11,318375129,122180077,C1CN(CCC1C(C2=CC=CC=N2)(C3=NC=CS3)O)CCCOC4=CC=C(C=C4)C#N,Active,,,,0.09,IC50,=,90,nM
12,318375130,73297277,C1CN(CCC1C(C2=CC(=CC=C2)F)(C3=NC=CS3)O)CCCOC4=CC=C(C=C4)S(=O)(=O)N,Active,,,,0.354,IC50,=,354,nM
13,318375131,122180078,C1CN(CCC1C(C2=CC=CC=N2)(C3=NC=CS3)O)CCCOC4=CC=C(C=C4)S(=O)(=O)N,Active,,,,0.246,IC50,=,246,nM
