PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,440111481,134961227,CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)[C@](C#N)([C@H]5CCC[C@@H]5NC(=O)OC)C6=CC(=CC=C6)F,Active,,,,0.004,IC50,=,4,nM
2,440114027,146673079,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCCCC7)C8=CC(=CC=C8)F,Active,,,,0.001,IC50,=,1,nM
3,440127124,155521881,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCC(CC7)(F)F)C8=CC(=CC=C8)F,Active,,,,0.004,IC50,=,4,nM
4,440130150,153315449,CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)[C@](CN5C=CN=N5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F,Active,,,,0.002,IC50,=,2,nM
5,440130269,155523910,CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)[C@](CN(C)C)([C@H]5CCC[C@@H]5NC(=O)OC)C6=CC(=CC=C6)F,Active,,,,0.0011,IC50,=,1.1,nM
6,440130903,155524327,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCCC7)C8=CC(=CC=C8)F,Active,,,,0.002,IC50,=,2,nM
7,440132968,155525699,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CC(C7)F)C8=CC(=CC=C8)F,Active,,,,0.001,IC50,=,1,nM
8,440133201,153315442,CCC1=NC=CN1C[C@]([C@H]2CCC[C@@H]2NC(=O)OC)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C)C7=CC(=CC=C7)F,Active,,,,0.002,IC50,=,2,nM
9,440142305,155531817,CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)[C@](CN5CCC5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F,Active,,,,0.003,IC50,=,3,nM
10,440167999,155544954,CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)[C@](CN5CCCC5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F,Active,,,,0.005,IC50,=,5,nM
11,440168847,139549815,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCC(CC7)F)C8=CC(=CC=C8)F,Active,,,,0.003,IC50,=,3,nM
12,440170020,155545749,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CC(C7)(F)F)C8=CC(=CC=C8)F,Active,,,,0.004,IC50,=,4,nM
13,440196557,148708392,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)C=C)C7=CC(=CC=C7)F,Active,,,,0.023,IC50,=,23,nM
14,440211996,155562418,CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)[C@](CN5CCCCC5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F,Active,,,,0.04,IC50,=,40,nM
15,440224288,155567300,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCC7)C8=CC(=CC=C8)F,Active,,,,0.002,IC50,=,2,nM
