PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,318454972,51001298,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NN=C(S4)C(F)(F)F,Active,,,,1.3,IC50,=,1300,nM,
2,404700362,86297875,C1CC1C2=CC3=C(N=CN=C3S2)N4CCN(CC4)C5=NN=C(S5)C(F)(F)F,Active,,,,2,IC50,=,2000,nM,
3,404704279,86297871,C1CN(CCN1C2=C3C=C(SC3=NC=N2)CC(F)(F)F)C4=NN=C(O4)C(F)(F)F,Active,,,,1.4,IC50,=,1400,nM,
4,404711693,145989820,CSC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NN=C(S4)C(F)(F)F,Unspecified,,,,20,IC50,=,20000,nM,
5,404713217,145990795,CCCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NNC(=N4)C(F)(F)F,Unspecified,,,,200,IC50,=,200000,nM,Outside typical range
6,404716483,145992889,CC1(CN=C(S1)N2CCN(CC2)C3=C4C=C(SC4=NC=N3)CCCl)C,Active,,,,0.193,IC50,=,193,nM,
7,404718697,86298079,CCCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NN=C(S4)C(F)(F)F,Active,,,,0.65,IC50,=,650,nM,
