PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,194161158,71777742,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)N,Active,,,,0.185,IC50,=,185,nM
2,194161158,71777742,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)N,Active,,,,0.058,Ki,=,58,nM
3,440112068,138618570,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=CC=C7,Active,,,,0.02,IC50,=,20,nM
4,440112068,138618570,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=CC=C7,Active,,,,0.0056,Ki,=,5.6,nM
5,440119448,132104735,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CCN4CCOCC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.011,IC50,=,11,nM
6,440119448,132104735,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CCN4CCOCC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.0027,Ki,=,2.7,nM
7,440121518,132090536,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,0.036,IC50,=,36,nM
8,440121518,132090536,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N,Active,,,,0.011,Ki,=,11,nM
9,440122947,138618588,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCCOC5=CC=C(C=C5)C#N,Active,,,,0.071,IC50,=,71,nM
10,440122947,138618588,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCCOC5=CC=C(C=C5)C#N,Active,,,,0.022,Ki,=,22,nM
11,440123026,132104733,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4=CC=NC=C4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,1.13,IC50,=,1130,nM
12,440123026,132104733,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4=CC=NC=C4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.361,Ki,=,361,nM
13,440125309,132104737,C1CCC(C1)C2(CNCC3=CC=CC=C32)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.008,IC50,=,8,nM
14,440125309,132104737,C1CCC(C1)C2(CNCC3=CC=CC=C32)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.0017,Ki,=,1.7,nM
15,440125598,138454904,CNC(=O)O[C@H]1CCC[C@@H]1[C@@]2(CN(CC3=CC=CC=C32)C)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.005,IC50,=,5,nM
16,440125598,138454904,CNC(=O)O[C@H]1CCC[C@@H]1[C@@]2(CN(CC3=CC=CC=C32)C)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.001,Ki,<,1,nM
17,440126706,132104456,CCC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.033,IC50,=,33,nM
18,440126706,132104456,CCC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.0097,Ki,=,9.7,nM
19,440128669,132104448,CCCC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,1.1,IC50,=,1100,nM
20,440128669,132104448,CCCC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.35,Ki,=,350,nM
21,440128742,132104137,CC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.04,IC50,=,40,nM
22,440128742,132104137,CC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.012,Ki,=,12,nM
23,440133597,132104444,CCO[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,5.4,IC50,=,5400,nM
24,440133597,132104444,CCO[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,1.7,Ki,=,1700,nM
25,440134605,155526758,CNC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.011,IC50,=,11,nM
26,440134605,155526758,CNC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.0027,Ki,=,2.7,nM
27,440135922,138618490,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CCCC7,Active,,,,0.017,IC50,=,17,nM
28,440135922,138618490,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CCCC7,Active,,,,0.0046,Ki,=,4.6,nM
29,440136735,132104367,CCS(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6,Active,,,,0.034,IC50,=,34,nM
30,440136735,132104367,CCS(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6,Active,,,,0.01,Ki,=,10,nM
31,440138592,155529345,CC(=O)O[C@@H]1CCC[C@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,3.5,IC50,=,3500,nM
32,440138592,155529345,CC(=O)O[C@@H]1CCC[C@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,1.1,Ki,=,1100,nM
33,440142779,138618549,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CCN(C5)C6=CC=C(C=C6)C#N,Active,,,,0.088,IC50,=,88,nM
34,440142779,138618549,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CCN(C5)C6=CC=C(C=C6)C#N,Active,,,,0.027,Ki,=,27,nM
35,440142949,132104373,CC(C)S(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6,Active,,,,0.067,IC50,=,67,nM
36,440142949,132104373,CC(C)S(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6,Active,,,,0.021,Ki,=,21,nM
37,440146010,132104378,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CC7,Active,,,,0.025,IC50,=,25,nM
38,440146010,132104378,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CC7,Active,,,,0.007,Ki,=,7,nM
39,440150242,155536984,CO[C@@H]1CCC[C@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,6.1,Ki,=,6100,nM
40,440150242,155536984,CO[C@@H]1CCC[C@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Unspecified,,,,19.1,IC50,=,19100,nM
41,440151377,138618542,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.017,IC50,=,17,nM
